@RELATION df_reentreno_Baseline_combi

@ATTRIBUTE pitchFFT_1 REAL
@ATTRIBUTE pitchFFTMin_1 REAL
@ATTRIBUTE pitchFFTMax_1 REAL
@ATTRIBUTE pitchFFTDif_1 REAL
@ATTRIBUTE pitchAutocorrelation_1 REAL
@ATTRIBUTE pitchAutocorrelationMin_1 REAL
@ATTRIBUTE pitchAutocorrelationMax_1 REAL
@ATTRIBUTE pitchAutocorrelationDif_1 REAL
@ATTRIBUTE pitchWavelet_1 REAL
@ATTRIBUTE pitchWaveletMin_1 REAL
@ATTRIBUTE pitchWaveletMax_1 REAL
@ATTRIBUTE pitchWaveletDif_1 REAL
@ATTRIBUTE centroide_1 REAL
@ATTRIBUTE centroideMin_1 REAL
@ATTRIBUTE centroideMax_1 REAL
@ATTRIBUTE centroideDif_1 REAL
@ATTRIBUTE rollOff_1 REAL
@ATTRIBUTE rollOffMin_1 REAL
@ATTRIBUTE rollOffMax_1 REAL
@ATTRIBUTE rollOffDif_1 REAL
@ATTRIBUTE ganancia_1 REAL
@ATTRIBUTE flux_1 REAL
@ATTRIBUTE fluxMin_1 REAL
@ATTRIBUTE fluxMax_1 REAL
@ATTRIBUTE fluxDif_1 REAL
@ATTRIBUTE SNR_1 REAL
@ATTRIBUTE SNRMax_1 REAL
@ATTRIBUTE zeroXMean_1 REAL
@ATTRIBUTE ZCRmin_1 REAL
@ATTRIBUTE ZCRmax_1 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_1 REAL
@ATTRIBUTE numWordsMinute_1 REAL
@ATTRIBUTE duration_1 REAL
@ATTRIBUTE pitchFFT_2 REAL
@ATTRIBUTE pitchFFTMin_2 REAL
@ATTRIBUTE pitchFFTMax_2 REAL
@ATTRIBUTE pitchFFTDif_2 REAL
@ATTRIBUTE pitchAutocorrelation_2 REAL
@ATTRIBUTE pitchAutocorrelationMin_2 REAL
@ATTRIBUTE pitchAutocorrelationMax_2 REAL
@ATTRIBUTE pitchAutocorrelationDif_2 REAL
@ATTRIBUTE pitchWavelet_2 REAL
@ATTRIBUTE pitchWaveletMin_2 REAL
@ATTRIBUTE pitchWaveletMax_2 REAL
@ATTRIBUTE pitchWaveletDif_2 REAL
@ATTRIBUTE centroide_2 REAL
@ATTRIBUTE centroideMin_2 REAL
@ATTRIBUTE centroideMax_2 REAL
@ATTRIBUTE centroideDif_2 REAL
@ATTRIBUTE rollOff_2 REAL
@ATTRIBUTE rollOffMin_2 REAL
@ATTRIBUTE rollOffMax_2 REAL
@ATTRIBUTE rollOffDif_2 REAL
@ATTRIBUTE ganancia_2 REAL
@ATTRIBUTE flux_2 REAL
@ATTRIBUTE fluxMin_2 REAL
@ATTRIBUTE fluxMax_2 REAL
@ATTRIBUTE fluxDif_2 REAL
@ATTRIBUTE SNR_2 REAL
@ATTRIBUTE SNRMax_2 REAL
@ATTRIBUTE zeroXMean_2 REAL
@ATTRIBUTE ZCRmin_2 REAL
@ATTRIBUTE ZCRmax_2 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_2 REAL
@ATTRIBUTE numWordsMinute_2 REAL
@ATTRIBUTE duration_2 REAL
@ATTRIBUTE pitchFFT_3 REAL
@ATTRIBUTE pitchFFTMin_3 REAL
@ATTRIBUTE pitchFFTMax_3 REAL
@ATTRIBUTE pitchFFTDif_3 REAL
@ATTRIBUTE pitchAutocorrelation_3 REAL
@ATTRIBUTE pitchAutocorrelationMin_3 REAL
@ATTRIBUTE pitchAutocorrelationMax_3 REAL
@ATTRIBUTE pitchAutocorrelationDif_3 REAL
@ATTRIBUTE pitchWavelet_3 REAL
@ATTRIBUTE pitchWaveletMin_3 REAL
@ATTRIBUTE pitchWaveletMax_3 REAL
@ATTRIBUTE pitchWaveletDif_3 REAL
@ATTRIBUTE centroide_3 REAL
@ATTRIBUTE centroideMin_3 REAL
@ATTRIBUTE centroideMax_3 REAL
@ATTRIBUTE centroideDif_3 REAL
@ATTRIBUTE rollOff_3 REAL
@ATTRIBUTE rollOffMin_3 REAL
@ATTRIBUTE rollOffMax_3 REAL
@ATTRIBUTE rollOffDif_3 REAL
@ATTRIBUTE ganancia_3 REAL
@ATTRIBUTE flux_3 REAL
@ATTRIBUTE fluxMin_3 REAL
@ATTRIBUTE fluxMax_3 REAL
@ATTRIBUTE fluxDif_3 REAL
@ATTRIBUTE SNR_3 REAL
@ATTRIBUTE SNRMax_3 REAL
@ATTRIBUTE zeroXMean_3 REAL
@ATTRIBUTE ZCRmin_3 REAL
@ATTRIBUTE ZCRmax_3 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_3 REAL
@ATTRIBUTE numWordsMinute_3 REAL
@ATTRIBUTE duration_3 REAL
@ATTRIBUTE pitchFFT_4 REAL
@ATTRIBUTE pitchFFTMin_4 REAL
@ATTRIBUTE pitchFFTMax_4 REAL
@ATTRIBUTE pitchFFTDif_4 REAL
@ATTRIBUTE pitchAutocorrelation_4 REAL
@ATTRIBUTE pitchAutocorrelationMin_4 REAL
@ATTRIBUTE pitchAutocorrelationMax_4 REAL
@ATTRIBUTE pitchAutocorrelationDif_4 REAL
@ATTRIBUTE pitchWavelet_4 REAL
@ATTRIBUTE pitchWaveletMin_4 REAL
@ATTRIBUTE pitchWaveletMax_4 REAL
@ATTRIBUTE pitchWaveletDif_4 REAL
@ATTRIBUTE centroide_4 REAL
@ATTRIBUTE centroideMin_4 REAL
@ATTRIBUTE centroideMax_4 REAL
@ATTRIBUTE centroideDif_4 REAL
@ATTRIBUTE rollOff_4 REAL
@ATTRIBUTE rollOffMin_4 REAL
@ATTRIBUTE rollOffMax_4 REAL
@ATTRIBUTE rollOffDif_4 REAL
@ATTRIBUTE ganancia_4 REAL
@ATTRIBUTE flux_4 REAL
@ATTRIBUTE fluxMin_4 REAL
@ATTRIBUTE fluxMax_4 REAL
@ATTRIBUTE fluxDif_4 REAL
@ATTRIBUTE SNR_4 REAL
@ATTRIBUTE SNRMax_4 REAL
@ATTRIBUTE zeroXMean_4 REAL
@ATTRIBUTE ZCRmin_4 REAL
@ATTRIBUTE ZCRmax_4 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_4 REAL
@ATTRIBUTE numWordsMinute_4 REAL
@ATTRIBUTE duration_4 REAL
@ATTRIBUTE gesture_place_combined {tap_left_arm, tap_right_arm, tap_belly, slap_left_arm, slap_right_arm, slap_belly, stroke_left_arm, stroke_right_arm, stroke_belly, tickle_left_arm, tickle_right_arm, tickle_belly, rub_left_arm, rub_right_arm, rub_belly, scratch_left_arm, scratch_right_arm, scratch_belly}

@DATA
937.5,937.5,937.5,0.0,1372.55,1333.33,1411.76,78.4314,0.0,0.0,0.0,0.0,2396.58,2029.6,2763.56,733.964,1078.12,1031.25,1125.0,93.75,0.008557,0.37991,0.32856,0.43126,0.102699,22.4983,30.7174,32.0,29.0,35.0,6.0,338.346,354.667,1539.31,93.75,1968.75,1875.0,2156.33,558.14,3428.57,2870.43,20.1359,0.0,1538.46,1538.46,2801.48,2146.24,3635.63,1489.39,1813.51,1218.75,2437.5,1218.75,0.015496,0.617889,0.270393,0.972508,0.702115,65.1121,366.898,39.3979,23.0,74.0,51.0,342.857,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1875.0,1875.0,1875.0,0.0,2666.67,2666.67,2666.67,0.0,0.0,0.0,0.0,0.0,2586.6,2586.6,2586.6,0.0,1875.0,1875.0,1875.0,0.0,0.00498,0.296013,0.296013,0.296013,0.0,15.696,15.696,31.0,31.0,31.0,0.0,22500.0,2.66667,rub_right_arm
709.821,93.75,1125.0,1031.25,1250.86,923.077,1500.0,576.923,0.0,0.0,0.0,0.0,1884.5,1360.09,2650.12,1290.03,1017.86,937.5,1218.75,281.25,0.028277,0.524913,0.339569,0.746289,0.40672,113.042,293.16,43.0,17.0,134.0,117.0,900.0,66.6667,1796.05,1406.25,3187.5,1781.25,2447.05,1500.0,3000.0,1500.0,47.2209,0.0,897.196,897.196,3331.87,2449.68,4188.25,1738.57,2511.51,1875.0,3937.5,2062.5,0.08329,0.659203,0.453876,0.981475,0.527599,447.022,1335.99,55.0526,36.0,93.0,57.0,308.219,194.667,131.25,93.75,187.5,93.75,408.403,380.952,470.588,89.6359,44.2396,0.0,221.198,221.198,1035.06,638.216,1520.74,882.522,206.25,187.5,281.25,93.75,0.011512,0.565359,0.384093,0.787088,0.402995,65.5347,137.987,4.2,3.0,6.0,3.0,1323.53,45.3333,1414.06,750.0,1781.25,1031.25,1103.03,380.952,2400.0,2019.05,26.3158,0.0,315.789,315.789,1803.49,1315.55,2448.11,1132.57,1140.62,187.5,1781.25,1593.75,0.008759,0.644068,0.35746,1.04941,0.691945,57.7224,184.969,23.0,12.0,43.0,31.0,1106.56,162.667,slap_right_arm
2014.58,1031.25,3843.75,2812.5,2443.14,1200.0,4000.0,2800.0,0.0,0.0,0.0,0.0,3334.27,2838.46,4053.01,1214.54,2637.5,1968.75,3656.25,1687.5,0.019032,0.636293,0.431856,0.896486,0.464631,37.1608,62.0113,56.4,41.0,77.0,36.0,127.119,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stroke_left_arm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.06,1593.75,1968.75,375.0,2475.56,1500.0,3000.0,1500.0,0.0,0.0,0.0,0.0,2689.35,2296.06,3009.9,713.837,2020.31,1687.5,2343.75,656.25,0.038621,0.62543,0.351587,0.841732,0.490145,104.857,203.229,41.6,34.0,47.0,13.0,445.545,269.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stroke_right_arm
1078.12,1031.25,1125.0,93.75,1505.88,1411.76,1600.0,188.235,0.0,0.0,0.0,0.0,2654.74,2274.42,3035.05,760.627,1218.75,1218.75,1218.75,0.0,0.005949,0.327422,0.239939,0.414906,0.174966,19.6567,25.6699,27.0,26.0,28.0,2.0,1551.72,77.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.5,187.5,187.5,0.0,428.845,413.793,444.444,30.6513,150.0,0.0,600.0,600.0,2740.65,2558.35,2949.06,390.711,1781.25,1406.25,2437.5,1031.25,0.003548,0.520701,0.327249,0.992239,0.66499,13.2274,14.434,24.25,11.0,33.0,22.0,1273.58,141.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stroke_belly
1151.816353,797.954358,1218.75,968.92166,1088.393072,386.38744,1759.140727,1310.799008,35.231566,0.0,148.057514,3.953628,1884.321442,1308.876884,2661.16418,1267.7317,1228.142558,454.81433,1875.0,1218.860661,0.03366,0.973277,0.848473,0.998686,0.207324,122.525122,249.619208,35.402796,11.0,52.905845,146.063089,2591.817927,41.081056,173.493041,93.75,401.520139,436.295357,807.080723,522.273365,1069.012807,554.155467,53.724309,0.0,603.598006,677.116933,1559.522728,1772.159153,1570.144082,69.378829,795.387633,597.266713,913.964399,256.727987,0.003606,0.623541,0.437864,0.795641,0.397568,17.634151,18.068179,17.450702,12.0,20.935364,13.702849,4500.0,13.3333,229.97953,176.511403,323.28848,187.5,393.97588,380.952,408.50782,18.533208,0.0,0.0,0.0,0.0,1598.648671,1391.710041,1892.912275,482.830197,218.75,187.5,281.25,93.75,0.003531,0.54713,0.460861,0.865659,0.466182,23.390851,26.33124,8.706429,5.958902,11.199614,11.019804,2500.0,24.0,402.172197,131.977725,1472.927987,1522.78456,556.728776,409.809793,1491.557715,1004.919704,0.0,0.0,0.0,0.0,1857.780564,1460.771028,2108.311163,584.437251,1034.960053,386.39109,1579.380602,1200.795851,0.004728,0.835085,0.68301,0.921043,0.208926,21.602424,39.213792,20.224954,8.641844,37.613417,34.378992,3461.54,34.6667,tap_left_arm
1247.89,843.75,2250.0,1406.25,1602.79,685.714,3000.0,2314.29,23.0606,0.0,1034.48,1034.48,2639.02,2075.76,3785.21,1709.44,1942.15,1125.0,3187.5,2062.5,0.06985,0.587224,0.342645,0.87426,0.531615,86.0,242.941,37.6486,28.0,51.0,23.0,473.684,886.667,980.114,750.0,1218.75,468.75,1320.7,1043.48,2000.0,956.522,206.493,0.0,1200.0,1200.0,1548.66,1460.35,1647.68,187.33,1039.77,937.5,1125.0,187.5,0.009649,0.496013,0.342176,0.716849,0.374673,10.7386,14.7139,22.8182,21.0,25.0,4.0,233.969,769.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scratch_left_arm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.559755,281.25,289.386973,60.362436,451.340923,404.003021,567.69528,78.964059,0.0,0.0,0.0,0.0,1706.550995,1250.06181,2353.096573,1009.364544,529.102221,288.438225,1114.993693,1031.771277,0.012209,0.578501,0.345847,0.869698,0.471067,19.046111,42.579337,12.550124,7.0,21.551036,15.763998,3652.35203,162.242856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,stroke_belly
1193.342365,910.295949,1840.626498,1326.723866,1240.394195,769.009425,1669.021754,1066.601283,0.0,0.0,0.0,0.0,2291.64457,1714.300875,3438.103522,1920.276577,1573.214536,1031.25,2437.5,1406.25,0.038448,0.764406,0.608572,0.995531,0.421645,83.141638,287.596935,30.325608,21.737021,131.05876,98.920377,1333.586749,73.250156,821.368821,655.538505,1304.933538,769.507807,1539.276176,997.983459,1548.652653,857.329559,349.067448,0.0,720.916061,879.672686,1704.644219,1354.025031,2164.154881,686.942076,1076.581095,843.366793,1409.105361,694.807236,0.01105,0.888981,0.729812,1.162467,0.439363,29.598256,41.004552,37.22081,21.461563,52.23559,42.149825,2500.0,24.0,231.64141,123.632142,131.338027,24.147104,413.513107,380.952,456.31054,72.050542,0.0,0.0,0.0,0.0,1161.632225,678.643243,1894.19979,819.903618,203.680992,146.58866,330.731464,187.5,0.008837,0.492658,0.464376,0.532381,0.087471,41.077454,79.85096,8.013956,5.6392,14.138757,6.251459,2037.795285,24.701643,992.691327,214.50864,1775.947144,1329.827708,1259.023551,444.213085,1616.017098,1335.545489,0.0,0.0,0.0,0.0,2291.109278,1605.494404,2834.769365,1561.567434,1641.345035,1148.976222,2062.5,1022.237034,0.009202,0.830548,0.70226,0.936869,0.261127,23.766787,36.473736,40.128588,25.621544,56.548796,33.38623,1159.31829,72.61456,tap_left_arm
1894.597437,1031.25,4162.344802,2969.33622,2313.965256,1075.570532,4000.0,2864.857447,0.0,0.0,0.0,0.0,3437.831615,2833.581737,4048.026047,1209.04127,2739.930527,2029.642491,3730.75155,1687.5,0.022097,0.63296,0.483267,0.893745,0.295943,127.980691,211.541481,59.195497,41.0,121.211645,91.505119,188.582831,426.145175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.180303,886.510124,1086.70227,245.861663,248.795241,16.168996,1310.845747,72.522033,0.0,0.0,0.0,0.0,361.460725,1909.324199,2800.580433,13.666282,610.658041,264.924441,345.849599,678.011696,0.000645,0.459855,0.914919,1.12525,0.013494,14.038329,10.851937,23.061915,7.403595,37.820266,18.970914,1509.856373,60.66737,stroke_left_arm
