@RELATION "Sound_Gestures: -C 2"

@ATTRIBUTE gesture {tap, slap, stroke, tickle, rub, scratch}
@ATTRIBUTE place {left_arm, right_arm, belly}
@ATTRIBUTE pitchFFT_1 REAL
@ATTRIBUTE pitchFFTMin_1 REAL
@ATTRIBUTE pitchFFTMax_1 REAL
@ATTRIBUTE pitchFFTDif_1 REAL
@ATTRIBUTE pitchAutocorrelation_1 REAL
@ATTRIBUTE pitchAutocorrelationMin_1 REAL
@ATTRIBUTE pitchAutocorrelationMax_1 REAL
@ATTRIBUTE pitchAutocorrelationDif_1 REAL
@ATTRIBUTE pitchWavelet_1 REAL
@ATTRIBUTE pitchWaveletMin_1 REAL
@ATTRIBUTE pitchWaveletMax_1 REAL
@ATTRIBUTE pitchWaveletDif_1 REAL
@ATTRIBUTE centroide_1 REAL
@ATTRIBUTE centroideMin_1 REAL
@ATTRIBUTE centroideMax_1 REAL
@ATTRIBUTE centroideDif_1 REAL
@ATTRIBUTE rollOff_1 REAL
@ATTRIBUTE rollOffMin_1 REAL
@ATTRIBUTE rollOffMax_1 REAL
@ATTRIBUTE rollOffDif_1 REAL
@ATTRIBUTE ganancia_1 REAL
@ATTRIBUTE flux_1 REAL
@ATTRIBUTE fluxMin_1 REAL
@ATTRIBUTE fluxMax_1 REAL
@ATTRIBUTE fluxDif_1 REAL
@ATTRIBUTE SNR_1 REAL
@ATTRIBUTE SNRMax_1 REAL
@ATTRIBUTE zeroXMean_1 REAL
@ATTRIBUTE ZCRmin_1 REAL
@ATTRIBUTE ZCRmax_1 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_1 REAL
@ATTRIBUTE numWordsMinute_1 REAL
@ATTRIBUTE duration_1 REAL
@ATTRIBUTE pitchFFT_2 REAL
@ATTRIBUTE pitchFFTMin_2 REAL
@ATTRIBUTE pitchFFTMax_2 REAL
@ATTRIBUTE pitchFFTDif_2 REAL
@ATTRIBUTE pitchAutocorrelation_2 REAL
@ATTRIBUTE pitchAutocorrelationMin_2 REAL
@ATTRIBUTE pitchAutocorrelationMax_2 REAL
@ATTRIBUTE pitchAutocorrelationDif_2 REAL
@ATTRIBUTE pitchWavelet_2 REAL
@ATTRIBUTE pitchWaveletMin_2 REAL
@ATTRIBUTE pitchWaveletMax_2 REAL
@ATTRIBUTE pitchWaveletDif_2 REAL
@ATTRIBUTE centroide_2 REAL
@ATTRIBUTE centroideMin_2 REAL
@ATTRIBUTE centroideMax_2 REAL
@ATTRIBUTE centroideDif_2 REAL
@ATTRIBUTE rollOff_2 REAL
@ATTRIBUTE rollOffMin_2 REAL
@ATTRIBUTE rollOffMax_2 REAL
@ATTRIBUTE rollOffDif_2 REAL
@ATTRIBUTE ganancia_2 REAL
@ATTRIBUTE flux_2 REAL
@ATTRIBUTE fluxMin_2 REAL
@ATTRIBUTE fluxMax_2 REAL
@ATTRIBUTE fluxDif_2 REAL
@ATTRIBUTE SNR_2 REAL
@ATTRIBUTE SNRMax_2 REAL
@ATTRIBUTE zeroXMean_2 REAL
@ATTRIBUTE ZCRmin_2 REAL
@ATTRIBUTE ZCRmax_2 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_2 REAL
@ATTRIBUTE numWordsMinute_2 REAL
@ATTRIBUTE duration_2 REAL
@ATTRIBUTE pitchFFT_3 REAL
@ATTRIBUTE pitchFFTMin_3 REAL
@ATTRIBUTE pitchFFTMax_3 REAL
@ATTRIBUTE pitchFFTDif_3 REAL
@ATTRIBUTE pitchAutocorrelation_3 REAL
@ATTRIBUTE pitchAutocorrelationMin_3 REAL
@ATTRIBUTE pitchAutocorrelationMax_3 REAL
@ATTRIBUTE pitchAutocorrelationDif_3 REAL
@ATTRIBUTE pitchWavelet_3 REAL
@ATTRIBUTE pitchWaveletMin_3 REAL
@ATTRIBUTE pitchWaveletMax_3 REAL
@ATTRIBUTE pitchWaveletDif_3 REAL
@ATTRIBUTE centroide_3 REAL
@ATTRIBUTE centroideMin_3 REAL
@ATTRIBUTE centroideMax_3 REAL
@ATTRIBUTE centroideDif_3 REAL
@ATTRIBUTE rollOff_3 REAL
@ATTRIBUTE rollOffMin_3 REAL
@ATTRIBUTE rollOffMax_3 REAL
@ATTRIBUTE rollOffDif_3 REAL
@ATTRIBUTE ganancia_3 REAL
@ATTRIBUTE flux_3 REAL
@ATTRIBUTE fluxMin_3 REAL
@ATTRIBUTE fluxMax_3 REAL
@ATTRIBUTE fluxDif_3 REAL
@ATTRIBUTE SNR_3 REAL
@ATTRIBUTE SNRMax_3 REAL
@ATTRIBUTE zeroXMean_3 REAL
@ATTRIBUTE ZCRmin_3 REAL
@ATTRIBUTE ZCRmax_3 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_3 REAL
@ATTRIBUTE numWordsMinute_3 REAL
@ATTRIBUTE duration_3 REAL
@ATTRIBUTE pitchFFT_4 REAL
@ATTRIBUTE pitchFFTMin_4 REAL
@ATTRIBUTE pitchFFTMax_4 REAL
@ATTRIBUTE pitchFFTDif_4 REAL
@ATTRIBUTE pitchAutocorrelation_4 REAL
@ATTRIBUTE pitchAutocorrelationMin_4 REAL
@ATTRIBUTE pitchAutocorrelationMax_4 REAL
@ATTRIBUTE pitchAutocorrelationDif_4 REAL
@ATTRIBUTE pitchWavelet_4 REAL
@ATTRIBUTE pitchWaveletMin_4 REAL
@ATTRIBUTE pitchWaveletMax_4 REAL
@ATTRIBUTE pitchWaveletDif_4 REAL
@ATTRIBUTE centroide_4 REAL
@ATTRIBUTE centroideMin_4 REAL
@ATTRIBUTE centroideMax_4 REAL
@ATTRIBUTE centroideDif_4 REAL
@ATTRIBUTE rollOff_4 REAL
@ATTRIBUTE rollOffMin_4 REAL
@ATTRIBUTE rollOffMax_4 REAL
@ATTRIBUTE rollOffDif_4 REAL
@ATTRIBUTE ganancia_4 REAL
@ATTRIBUTE flux_4 REAL
@ATTRIBUTE fluxMin_4 REAL
@ATTRIBUTE fluxMax_4 REAL
@ATTRIBUTE fluxDif_4 REAL
@ATTRIBUTE SNR_4 REAL
@ATTRIBUTE SNRMax_4 REAL
@ATTRIBUTE zeroXMean_4 REAL
@ATTRIBUTE ZCRmin_4 REAL
@ATTRIBUTE ZCRmax_4 REAL
@ATTRIBUTE ZCRmax_minus_ZCRmin_4 REAL
@ATTRIBUTE numWordsMinute_4 REAL
@ATTRIBUTE duration_4 REAL

@DATA
tickle,belly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.78788,187.5,281.948039,135.429325,448.809736,380.952,705.112873,180.488091,20.763838,0.0,215.843305,233.437151,1590.114725,1479.941928,2113.154203,552.727552,578.914794,183.18005,618.120641,619.121793,0.008214,0.547373,0.193233,0.947032,0.743636,9.384907,13.109137,15.675138,10.294161,26.112826,22.655564,584.169043,550.520167,1593.75,1593.75,1593.75,0.0,2042.155369,2005.489074,2102.831223,0.0,0.0,0.0,0.0,0.0,2365.577759,2435.974661,2139.019433,0.0,1581.563659,1697.939797,1871.633695,0.0,0.005127,0.588518,0.673181,0.657907,0.0,23.089462,19.063408,35.91965,38.510163,44.766568,0.0,22500.0,2.66667
scratch,left_arm,1501.56,750.0,4125.0,3375.0,1825.85,631.579,4000.0,3368.42,100.077,0.0,1000.0,1000.0,3433.23,2087.59,4811.42,2723.84,2587.5,1500.0,4500.0,3000.0,0.08005,0.637145,0.253206,0.936209,0.683003,257.059,999.805,53.5667,26.0,194.0,168.0,304.642,1378.67,849.432,656.25,1125.0,468.75,1234.58,750.0,1846.15,1096.15,137.962,0.0,923.077,923.077,1613.06,1124.79,2403.57,1278.77,928.977,750.0,1125.0,375.0,0.012788,0.551479,0.124582,0.89728,0.772698,22.7204,64.1734,20.5152,16.0,25.0,9.0,290.323,1240.0,264.706,187.5,375.0,187.5,426.234,380.952,615.385,234.432,66.8872,0.0,342.857,342.857,1138.8,795.94,1475.06,679.118,292.279,187.5,375.0,187.5,0.008807,0.372529,0.086886,0.65731,0.570424,20.4649,35.0672,6.52941,5.0,10.0,5.0,290.323,1240.0,1205.36,843.75,1593.75,750.0,1528.14,393.443,2666.67,2273.22,276.826,0.0,1200.0,1200.0,1591.33,1317.23,1833.57,516.334,1209.82,937.5,1406.25,468.75,0.007828,0.689903,0.367122,0.966563,0.59944,15.4318,24.6245,27.0,22.0,32.0,10.0,196.937,1218.67
stroke,right_arm,1312.5,1312.5,1312.5,0.0,1846.15,1846.15,1846.15,0.0,0.0,0.0,0.0,0.0,2349.83,2349.83,2349.83,0.0,1406.25,1406.25,1406.25,0.0,0.008374,0.399575,0.399575,0.399575,0.0,11.0392,11.0392,26.0,26.0,26.0,0.0,22500.0,2.66667,1758.75,1406.25,2343.75,937.5,2297.1,1263.16,2666.67,1403.51,0.0,0.0,0.0,0.0,3110.2,2550.4,3617.61,1067.21,2216.25,1593.75,2812.5,1218.75,0.021013,0.612889,0.335046,0.873577,0.538531,91.904,187.811,48.76,34.0,67.0,33.0,223.881,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tap,belly,1078.12,1031.25,1125.0,93.75,1377.06,1263.16,1500.0,236.842,0.0,0.0,0.0,0.0,1746.47,1349.2,2053.53,704.336,1078.12,1031.25,1125.0,93.75,0.020048,0.433376,0.292603,0.570528,0.277925,28.5912,43.5373,25.25,21.0,31.0,10.0,2142.86,56.0,2203.12,1125.0,3281.25,2156.25,2290.91,2181.82,2400.0,218.182,459.755,161.616,757.895,596.279,2399.99,1753.03,3046.94,1293.91,2062.5,1218.75,2906.25,1687.5,0.011765,1.0696,0.994867,1.14434,0.149471,26.8065,36.3869,35.5,26.0,45.0,19.0,3461.54,34.6667,1562.5,187.5,4312.5,4125.0,786.8,380.952,3428.57,3047.62,0.0,0.0,0.0,0.0,2239.72,999.058,3960.32,2961.26,1250.0,93.75,4125.0,4031.25,0.017881,0.527996,0.207405,0.953443,0.746037,64.6843,190.801,18.6667,0.0,77.0,77.0,1216.22,98.6667,1250.0,468.75,1781.25,1312.5,1806.64,571.429,2666.67,2095.24,0.0,0.0,0.0,0.0,2233.44,1707.48,2912.65,1205.17,1406.25,750.0,1781.25,1031.25,0.014989,0.702136,0.461006,1.04703,0.586027,41.9862,81.5937,35.6667,22.0,45.0,23.0,2500.0,24.0
slap,belly,1078.12,937.5,1312.5,375.0,1893.65,1333.33,3428.57,2095.24,79.2079,0.0,475.248,475.248,2285.83,1736.43,3095.29,1358.87,1359.38,1031.25,2625.0,1593.75,0.015642,0.657235,0.356254,0.958159,0.601905,47.8515,125.282,26.6667,23.0,38.0,15.0,1592.92,150.667,1031.25,843.75,1218.75,375.0,1598.08,1200.0,1846.15,646.154,189.474,0.0,757.895,757.895,2120.83,1954.84,2574.2,619.362,1218.75,1218.75,1218.75,0.0,0.004783,0.619077,0.552844,0.688883,0.13604,20.6023,30.0835,29.5,29.0,30.0,1.0,1800.0,33.3333,353.365,93.75,1312.5,1218.75,464.232,380.952,1000.0,619.048,0.0,0.0,0.0,0.0,2099.51,1189.69,2925.37,1735.68,1197.12,187.5,2625.0,2437.5,0.023179,0.594004,0.174928,1.02802,0.853092,147.543,965.262,25.2308,1.0,52.0,51.0,796.46,150.667,1687.5,1218.75,1875.0,656.25,957.552,380.952,1846.15,1465.2,16.4384,0.0,131.507,131.507,2482.14,2122.25,3952.4,1830.15,1617.19,843.75,2718.75,1875.0,0.009382,0.620798,0.395173,0.794095,0.398922,55.7221,228.859,31.875,19.0,46.0,27.0,1384.62,86.6667
scratch,right_arm,934.524,750.0,1125.0,375.0,1432.32,648.649,2000.0,1351.35,425.438,0.0,1090.91,1090.91,2023.11,1268.43,2943.61,1675.18,976.19,843.75,1125.0,281.25,0.012187,0.522473,0.082591,0.905697,0.823106,33.6711,107.635,21.9524,17.0,36.0,19.0,608.108,1282.67,1657.53,1218.75,2625.0,1406.25,2303.75,1333.33,3000.0,1666.67,56.1337,0.0,1600.0,1600.0,2911.99,2151.54,4362.82,2211.28,2093.24,1500.0,3468.75,1968.75,0.095526,0.605839,0.316456,1.0579,0.741442,456.593,1536.39,43.5738,31.0,75.0,44.0,92.0245,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tap,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.25,93.75,1500.0,1406.25,893.281,545.455,1090.91,545.455,0.0,0.0,0.0,0.0,2062.45,1624.1,2455.64,831.54,937.5,656.25,1406.25,750.0,0.005105,0.578647,0.370344,0.854519,0.484175,19.8442,23.8136,19.0,11.0,26.0,15.0,2500.0,24.0,218.75,187.5,281.25,93.75,422.577,380.952,480.0,99.0476,0.0,0.0,0.0,0.0,2157.57,1762.22,2806.45,1044.23,468.75,187.5,937.5,750.0,0.002617,0.636022,0.41961,0.761467,0.341857,17.7074,19.3225,19.3333,10.0,24.0,14.0,2500.0,24.0,968.75,281.25,1312.5,1031.25,1587.3,380.952,2666.67,2285.71,0.0,0.0,0.0,0.0,2307.73,1512.77,2870.71,1357.94,1468.75,656.25,1875.0,1218.75,0.003125,0.761167,0.52751,0.939628,0.412118,16.75,18.4277,30.0,16.0,37.0,21.0,2500.0,24.0
tickle,belly,1103.433082,1107.364352,1039.61425,0.0,1736.044817,996.087835,1451.958977,0.0,392.725978,718.062152,754.601303,0.0,2412.613898,2314.413128,2409.76414,0.0,1208.740791,1047.170252,1134.920079,0.0,0.006491,0.544693,0.52399,0.533612,0.0,15.300682,14.226181,52.72319,51.657201,31.938816,0.0,22500.0,2.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.418039,155.553716,538.689761,375.0,443.587311,380.952,679.123707,352.07088,22.515629,0.0,357.364625,351.996097,1849.119332,841.452641,2697.47273,1890.299515,609.729165,231.355458,1749.320587,1473.619408,0.008879,0.564085,0.243544,0.946014,0.645633,50.075075,162.427244,17.584906,5.0,39.303419,34.398337,472.17392,898.304407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rub,left_arm,1878.855662,843.75,4846.738504,3950.710152,2168.398015,388.754168,4000.0,3610.940503,13.921422,0.0,992.373456,999.993,3251.9676,2350.720611,4093.107349,1881.36996,2623.101101,1003.441377,3804.837344,2871.091624,0.036236,0.65921,0.452917,1.096378,0.688654,177.146895,447.792671,54.638338,22.0,90.974395,65.071062,328.229854,3055.402909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.8217,1687.819833,1896.785958,458.611935,2286.482342,1811.429859,2666.67,920.028278,0.0,0.0,0.0,0.0,2659.827659,2660.484525,2899.290874,335.151784,1867.987701,1694.165102,1987.496896,678.80823,0.005119,0.40273,0.427445,0.540542,0.333123,14.787582,24.459341,37.108808,34.071891,43.537626,11.021285,281.196678,1868.024887
tap,left_arm,774.817516,93.75,1443.054112,1207.942464,1340.333889,386.892037,2583.769258,2276.804605,105.482371,0.0,957.504715,961.152466,2678.359779,1711.174829,3444.746708,1628.173211,1626.796255,810.803656,2325.510566,1500.0,0.047155,0.673363,0.452798,0.875589,0.42332,188.972426,1131.770342,36.876756,14.421903,66.391387,52.125045,1097.56,109.333,1561.468143,827.755968,1504.684928,516.630655,1288.501358,502.265856,2181.82,1738.378204,13.448016,0.0,130.098638,71.750955,1779.051481,1266.815542,2182.409513,1101.930628,985.70062,512.070057,1687.5,1194.969679,0.012245,0.838086,0.704439,1.110335,0.581792,49.187271,76.646444,34.61385,14.394989,49.776635,56.758074,1106.987862,106.708724,157.787416,93.75,270.583663,166.680614,407.13604,380.952,480.417882,71.744898,0.0,0.0,0.0,0.0,1024.814899,716.850487,1607.164486,858.178246,230.318791,187.5,317.669218,165.14745,0.009197,0.326853,0.093817,0.687835,0.442226,71.877614,135.340365,5.697382,2.351692,12.878296,9.835817,1730.731606,44.099992,1618.569199,1575.824247,1842.628292,376.528176,1544.171379,518.129593,2666.67,2241.273887,0.0,0.0,0.0,0.0,2217.508172,1550.910215,2977.464315,1450.685627,1539.030481,763.388862,2156.25,1374.232298,0.008254,0.805266,0.629631,1.147522,0.570425,42.103532,67.3361,31.673669,11.898972,51.874877,36.772469,1559.501834,103.180781
